#,Company,Symbol,Portfolio%,Price,Chg,% Chg
1,Microsoft Corp,MSFT,7.19%,425.52,7.64,(1.83%)
2,Apple Inc.,AAPL,5.67%,169.58,0.76,(0.45%)
3,Nvidia Corp,NVDA,4.91%,880.08,21.03,(2.45%)
4,Amazon.com Inc,AMZN,3.81%,185.07,05.07,(2.82%)
5,"Meta Platforms, Inc. Class A",META,2.60%,527.34,16.42,(3.21%)
6,Alphabet Inc. Class A,GOOGL,2.05%,152.50,1.97,(1.31%)
7,Berkshire Hathaway Class B,BRK.B,1.75%,418.62,3.30,(0.79%)
8,Alphabet Inc. Class C,GOOG,1.74%,153.94,2.00,(1.32%)
9,Eli Lilly & Co.,LLY,1.42%,784.21,16.13,(2.10%)
10,Broadcom Inc.,AVGO,1.34%,"1,339.43",21.93,(1.66%)
11,Jpmorgan Chase & Co.,JPM,1.31%,197.45,1.80,(0.92%)
12,Exxon Mobil Corporation,XOM,1.10%,121.37,1.65,(1.38%)
13,"Tesla, Inc.",TSLA,1.10%,164.90,-6.21,(-3.63%)
14,Visa Inc.,V,1.00%,277.14,3.14,(1.15%)
15,Unitedhealth Group Incorporated,UNH,0.97%,455.74,0.36,(0.08%)
16,Mastercard Incorporated,MA,0.90%,477.15,7.38,(1.57%)
17,Johnson & Johnson,JNJ,0.85%,152.39,-0.11,(-0.07%)
18,Procter & Gamble Company,PG,0.85%,156.10,0.65,(0.42%)
19,"Home Depot, Inc.",HD,0.82%,357.87,0.19,(0.05%)
20,"Merck & Co., Inc.",MRK,0.75%,127.99,0.33,(0.26%)
21,Costco Wholesale Corp,COST,0.72%,713.72,8.84,(1.25%)
22,Abbvie Inc.,ABBV,0.69%,170.00,2.10,(1.25%)
23,"Salesforce, Inc.",CRM,0.66%,301.91,7.77,(2.64%)
24,Chevron Corporation,CVX,0.65%,161.60,0.91,(0.57%)
25,Advanced Micro Devices,AMD,0.62%,170.42,4.59,(2.77%)
26,Netflix Inc,NFLX,0.62%,636.18,19.04,(3.09%)
27,Walmart Inc.,WMT,0.59%,59.85,0.35,(0.59%)
28,Bank of America Corporation,BAC,0.59%,37.11,0.19,(0.51%)
29,"Pepsico, Inc.",PEP,0.54%,169.14,-0.51,(-0.30%)
30,Coca-Cola Company,KO,0.53%,59.51,0.21,(0.35%)
31,Linde Plc,LIN,0.51%,464.70,7.44,(1.63%)
32,"Thermo Fisher Scientific, Inc.",TMO,0.51%,579.46,8.85,(1.55%)
33,Adobe Inc.,ADBE,0.51%,485.12,-1.99,(-0.41%)
34,The Walt Disney Company,DIS,0.50%,118.38,1.29,(1.10%)
35,Accenture Plc,ACN,0.48%,333.00,2.53,(0.77%)
36,Wells Fargo & Co.,WFC,0.47%,57.40,0.72,(1.27%)
37,Oracle Corp,ORCL,0.46%,124.90,0.71,(0.57%)
38,Mcdonald's Corporation,MCD,0.45%,266.69,-3.40,(-1.26%)
39,"Cisco Systems, Inc.",CSCO,0.45%,48.55,0.44,(0.91%)
40,Abbott Laboratories,ABT,0.44%,111.20,01.09,(0.99%)
41,Qualcomm Inc,QCOM,0.44%,171.53,1.77,(1.04%)
42,Caterpillar Inc.,CAT,0.44%,379.30,9.51,(2.57%)
43,Verizon Communications,VZ,0.41%,42.12,-0.33,(-0.78%)
44,Intuit Inc,INTU,0.40%,635.74,14.46,(2.33%)
45,International Business Machines Corporation,IBM,0.40%,189.14,1.20,(0.64%)
46,Applied Materials Inc,AMAT,0.39%,207.85,4.46,(2.19%)
47,Intel Corp,INTC,0.39%,38.71,-1.02,(-2.57%)
48,Comcast Corp,CMCSA,0.38%,40.90,-0.21,(-0.51%)
49,General Electric Company,GE,0.37%,156.30,8.91,(6.05%)
50,Danaher Corporation,DHR,0.37%,244.28,2.38,(0.98%)
51,"Servicenow, Inc.",NOW,0.36%,783.50,25.95,(3.43%)
52,Conocophillips,COP,0.36%,133.52,1.77,(1.34%)
53,"Uber Technologies, Inc.",UBER,0.36%,77.16,2.24,(2.99%)
54,Texas Instruments Incorporated,TXN,0.35%,167.50,-1.03,(-0.61%)
55,Pfizer Inc.,PFE,0.35%,26.66,0.01,(0.04%)
56,Union Pacific Corp.,UNP,0.34%,242.01,1.32,(0.55%)
57,Amgen Inc,AMGN,0.33%,269.95,1.86,(0.69%)
58,Philip Morris International Inc.,PM,0.32%,89.48,-0.62,(-0.69%)
59,S&p Global Inc.,SPGI,0.32%,431.59,3.17,(0.74%)
60,Lowe's Companies Inc.,LOW,0.32%,239.32,1.31,(0.55%)
61,"Micron Technology, Inc.",MU,0.32%,123.58,-0.51,(-0.41%)
62,Intuitive Surgical Inc.,ISRG,0.31%,388.39,9.47,(2.50%)
63,Goldman Sachs Group Inc.,GS,0.31%,408.07,1.82,(0.45%)
64,Rtx Corporation,RTX,0.31%,101.69,2.38,(2.40%)
65,"Nextra Energy, Inc.",NEE,0.30%,64.18,0.45,(0.71%)
66,"Honeywell International, Inc.",HON,0.30%,197.15,1.10,(0.56%)
67,"Eaton Corporation, Plcs",ETN,0.30%,330.51,10.35,(3.23%)
68,American Express Company,AXP,0.29%,222.46,2.87,(1.31%)
69,At&t Inc.,T,0.29%,17.42,-0.15,(-0.85%)
70,Lam Research Corp,LRCX,0.29%,968.58,16.95,(1.78%)
71,Booking Holdings Inc.,BKNG,0.28%,"3,601.90",79.97,(2.27%)
72,Progressive Corporation,PGR,0.28%,211.00,1.76,(0.84%)
73,Stryker Corporation,SYK,0.27%,351.02,3.64,(1.05%)
74,"Elevance Health, Inc.",ELV,0.27%,507.35,8.75,(1.75%)
75,Citigroup Inc.,C,0.27%,61.60,0.69,(1.13%)
76,Morgan Stanley,MS,0.27%,92.47,0.19,(0.21%)
77,"Prologis, Inc.",PLD,0.27%,124.74,0.05,(0.04%)
78,Medtronic Plc,MDT,0.26%,84.56,0.64,(0.76%)
79,"Blackrock, Inc.",BLK,0.26%,797.56,5.47,(0.69%)
80,"Tjx Companies, Inc.",TJX,0.25%,96.81,01.06,(1.11%)
81,"Nike, Inc.",NKE,0.25%,88.84,-0.23,(-0.26%)
82,"United Parcel Service, Inc. Class B",UPS,0.25%,151.36,1.36,(0.91%)
83,The Charles Schwab Corporation,SCHW,0.25%,71.89,0.54,(0.76%)
